geonames_id,lat-lon,lat,lon
3427379.0,"-34.68967,-58.47132",-34.68967,-58.47132
3435331.0,"-32.67144,-58.32538",-32.67144,-58.32538
3866396.0,"-31.8901,-60.58998",-31.8901,-60.58998
3836564.0,"-24.19457,-65.29712",-24.19457,-65.29712
3433340.0,"-35.27736,-58.20166",-35.27736,-58.20166
3862738.0,"-32.82262,-60.71852",-32.82262,-60.71852
3841500.0,"-32.99835,-60.76791",-32.99835,-60.76791
3436149.0,"-33.83333,-59.5",-33.83333,-59.5
3862758.0,"-32.91667,-68.73333",-32.91667,-68.73333
3836846.0,"-33.33425,-60.2108",-33.33425,-60.2108
3832718.0,"-31.48333,-64.56667",-31.48333,-64.56667
3866926.0,"-37.25,-63",-37.25,-63.0
3435406.0,"-34.91667,-59.91667",-34.91667,-59.91667
3862583.0,"-40.79828,-62.98097",-40.79828,-62.98097
3861415.0,"-31.48738,-68.52691",-31.48738,-68.52691
3843871.0,"-31.34312,-63.94437",-31.34312,-63.94437
3832661.0,"-32.89722,-68.78038",-32.89722,-68.78038
3845944.0,"-31.85466,-64.37864",-31.85466,-64.37864
