geonames_id,lat,lat-lon,lon,place_name
3852468.0,-34.12662,"-34.12662,-63.39119",-63.39119,Laboulaye
3855370.0,-32.79122,"-32.79122,-60.72819",-60.72819,Fray Luis A. Beltrán
3866667.0,-31.06661,"-31.06661,-64.30017",-64.30017,Agua de Oro
3847836.0,-32.47661,"-32.47661,-61.58041",-61.58041,Las Rosas
3836620.0,-23.13705,"-23.13705,-64.32426",-64.32426,San Ramón de la Nueva Orán
3430838.0,-34.72362,"-34.72362,-58.79228",-58.79228,Mariano Acosta
3855135.0,-36.0,"-36,-60.08333",-60.08333,Partido de General Alvear
3435369.0,-34.79675,"-34.79675,-58.33434",-58.33434,Claypole
3862889.0,-46.55802,"-46.55802,-67.61089",-67.61089,Cañadón Seco
3832756.0,-31.94585,"-31.94585,-65.18958",-65.18958,Villa Dolores
3832603.0,-31.64757,"-31.64757,-60.37516",-60.37516,Villa Urquiza
3436030.0,-26.2552,"-26.2552,-53.64581",-53.64581,Bernardo de Irigoyen
3838686.0,-32.92277,"-32.92277,-68.73935",-68.73935,Rodeo de la Cruz
3843122.0,-39.0,"-39,-70",-70.0,Neuquén Province
3433816.0,-35.8487,"-35.8487,-58.67023",-58.67023,Partido de General Belgrano
3428927.0,-38.17633,"-38.17633,-59.00728",-59.00728,San José
3427375.0,-34.82844,"-34.82844,-58.94036",-58.94036,Villars
3865385.0,-33.15489,"-33.15489,-60.50863",-60.50863,Arroyo Seco
3862606.0,-35.75,"-35.75,-61.25",-61.25,Partido de Carlos Casares
3427535.0,-27.41667,"-27.41667,-54.66667",-54.66667,Departamento de Veinticinco de Mayo
3427511.0,-35.38796,"-35.38796,-57.33691",-57.33691,Verónica
3860886.0,-31.6333,"-31.6333,-60.6048",-60.6048,Colastiné
3854331.0,-32.42657,"-32.42657,-63.73333",-63.73333,Hernando
3840255.0,-30.98409,"-30.98409,-61.02128",-61.02128,Providencia
3433794.0,-36.66667,"-36.66667,-57",-57.0,Partido de General Lavalle
3833062.0,-33.74556,"-33.74556,-61.96885",-61.96885,Venado Tuerto
3834309.0,-36.58333,"-36.58333,-64.8",-64.8,Departamento de Toay
3427896.0,-34.75,"-34.75,-59.75",-59.75,Partido de Suipacha
3856235.0,-32.18,"-32.18,-64.41809",-64.41809,Embalse
3435532.0,-27.6331,"-27.6331,-55.4962",-55.4962,Cerro Azul
3837885.0,-34.0,"-34,-69",-69.0,Departamento de San Carlos
3865981.0,-33.05873,"-33.05873,-60.61735",-60.61735,Alvear
3855626.0,-31.24458,"-31.24458,-61.21235",-61.21235,Felicia
3431318.0,-38.08333,"-38.08333,-58.75",-58.75,Partido de Lobería
3838796.0,-31.75,"-31.75,-63.5",-63.5,Departamento de Río Segundo
3840293.0,-31.21239,"-31.21239,-61.61338",-61.61338,Presidente Roca
3434177.0,-35.24429,"-35.24429,-59.48399",-59.48399,Elvira
3865485.0,-33.14552,"-33.14552,-61.47156",-61.47156,Arequito
3847613.0,-31.87208,"-31.87208,-62.71946",-62.71946,Las Varillas
3833211.0,-31.11732,"-31.11732,-64.48084",-64.48084,Valle Hermoso
3835289.0,-36.9334,"-36.9334,-60.15923",-60.15923,Sierras Bayas
3853654.0,-35.56792,"-35.56792,-60.35748",-60.35748,Islas
3832606.0,-29.31595,"-29.31595,-68.22658",-68.22658,Villa Unión
3428974.0,-27.77806,"-27.77806,-55.13004",-55.13004,Departamento de San Javier
3860179.0,-25.28041,"-25.28041,-65.47788",-65.47788,Coronel Moldes
3837956.0,-31.78371,"-31.78371,-60.44156",-60.44156,San Benito
3854360.0,-31.09834,"-31.09834,-60.0883",-60.0883,Helvecia
3436249.0,-34.88952,"-34.88952,-58.12579",-58.12579,Arturo Seguí
3436038.0,-34.91667,"-34.91667,-57.83333",-57.83333,Partido de Berisso
3862215.0,-31.20089,"-31.20089,-60.16055",-60.16055,Cayastá
3832784.0,-31.07498,"-31.07498,-64.31577",-64.31577,Villa Cerro Azul
3861329.0,-39.28941,"-39.28941,-65.6606",-65.6606,Choele Choel
3859827.0,-30.75,"-30.75,-65",-65.0,Departamento de Cruz del Eje
3832773.0,-31.70578,"-31.70578,-65.01796",-65.01796,Villa Cura Brochero
3859556.0,-42.5,"-42.5,-70.83333",-70.83333,Departamento de Cushamen
3838749.0,-30.8,"-30.8,-66.615",-66.615,Departamento de General Juan F. Quiroga
3838506.0,-34.26827,"-34.26827,-62.71262",-62.71262,Rufino
3848299.0,-24.87887,"-24.87887,-65.58957",-65.58957,La Silleta
3835998.0,-31.41969,"-31.41969,-60.33342",-60.33342,Santa Rosa
3860205.0,-33.31576,"-33.31576,-60.60365",-60.60365,Coronel Bogado
3848949.0,-29.58333,"-29.58333,-67",-67.0,La Rioja Province
3435486.0,-30.75048,"-30.75048,-57.97962",-57.97962,Chajarí
3832694.0,-32.40751,"-32.40751,-63.24016",-63.24016,Villa María
3845073.0,-31.38194,"-31.38194,-64.05545",-64.05545,Malvinas Argentinas
6690180.0,-49.3299,"-49.3299,-72.88605",-72.88605,El Chaltén
3861631.0,-33.6439,"-33.6439,-61.85821",-61.85821,Chateaubriand
3839441.0,-33.5,"-33.5,-60.08333",-60.08333,Partido de Ramallo
3858677.0,-50.34075,"-50.34075,-72.27682",-72.27682,El Calafate
3430311.0,-34.62472,"-34.62472,-59.25477",-59.25477,Olivera
3832733.0,-29.1431,"-29.1431,-62.65248",-62.65248,Villa General Mitre
3430951.0,-35.18487,"-35.18487,-57.68628",-57.68628,Partido de Magdalena
6948895.0,-31.89882,"-31.89882,-64.77331",-64.77331,La Cumbrecita
3436058.0,-28.5,"-28.5,-58.83333",-58.83333,Departamento de Bella Vista
3856121.0,-45.33333,"-45.33333,-67.33333",-67.33333,Departamento de Escalante
3855072.0,-34.76459,"-34.76459,-61.89093",-61.89093,General Pinto
3841462.0,-37.66097,"-37.66097,-64.14089",-64.14089,Perú
3427689.0,-34.43094,"-34.43094,-59.12803",-59.12803,Torres
3836129.0,-26.66667,"-26.66667,-66.41667",-66.41667,Departamento de Santa María
3855570.0,-33.19494,"-33.19494,-60.4687",-60.4687,Fighiera
3845391.0,-26.9277,"-26.9277,-65.33869",-65.33869,San Isidro de Lules
3839303.0,-43.12342,"-43.12342,-65.10179",-65.10179,Departamento de Rawson
3846269.0,-43.16667,"-43.16667,-71.75",-71.75,Los Cipreses
